Block Number,TPS,Block Fullness (%),Pending Transactions
1,0,0.042341649999999995,0
2,557.6666666666666,99.99798226,2655
3,557.6666666666666,99.99858832000001,1311
4,557.6666666666666,99.99860742999999,1965
5,557.5,99.970531858,622
6,557.5,99.970531858,1278
7,557.5,99.970531858,1933
8,540.1666666666666,96.86271733000001,694
9,557.5,99.970531858,1350
10,557.5,99.970531858,2005
11,557.5,99.970531858,2662
12,557.5,99.970531858,3317
13,557.5,99.970531858,1973
14,557.5,99.970531858,630
15,557.5,99.970531858,1286
16,557.5,99.970531858,1941
17,557.5,99.970531858,2597
18,557.5,99.970531858,1255
19,557.5,99.970531858,1909
20,557.5,99.970531858,2565
21,557.5,99.970531858,2852
22,557.5,99.970531858,1878
23,557.5,99.970531858,2533
24,557.5,99.970531858,3189
25,557.5,99.970531858,1846
26,557.5,99.970531858,2501
27,557.5,99.970531858,3157
28,557.5,99.970531858,1814
29,557.5,99.970531858,2469
30,557.5,99.970531858,3125
31,557.5,99.970651432,1782
32,557.5,99.972357682,2437
33,557.5,99.972357682,1094
34,557.5,99.972357682,1749
35,557.5,99.972357682,2405
36,557.5,99.972357682,1062
37,557.5,99.972357682,1717
38,557.5,99.972357682,2068
39,557.5,99.972357682,1783
40,557.5,99.972357682,1685
41,557.5,99.972357682,342
42,557.5,99.972357682,998
43,499.8333333333333,89.632708894,1999
44,557.5,99.972357682,2655
45,557.5,99.972357682,3311
46,557.5,99.972357682,1968
47,557.5,99.972357682,2623
48,557.5,99.972357682,3279
49,557.5,99.972357682,1936
50,557.5,99.972357682,2591
51,557.5,99.972357682,1248
52,557.5,99.972357682,1903
53,557.5,99.972357682,2559
54,557.5,99.972357682,1216
55,557.5,99.972357682,1871
56,557.5,99.972357682,2527
57,557.5,99.972357682,1184
58,557.5,99.972357682,1839
59,557.5,99.972357682,2495
60,557.5,99.972357682,2499
61,557.5,99.972357682,1807
62,557.5,99.972357682,2463
63,557.5,99.972357682,3119
64,557.5,99.972357682,1776
65,557.5,99.972357682,2431
66,557.5,99.972357682,3087
67,557.5,99.972357682,1744
68,557.5,99.972357682,2399
69,557.5,99.972357682,3055
70,557.5,99.972357682,1712
71,557.5,99.972357682,2367
72,557.5,99.972357682,1023
73,504.1666666666667,90.409676722,1999
74,557.5,99.972357682,656
75,557.5,99.972357682,1312
76,557.5,99.972357682,1967
77,557.5,99.972357682,624
78,437.5,78.456325522,1911
79,557.5,99.972357682,656
80,557.5,99.972357682,2677
81,557.5,99.972357682,1967
82,557.5,99.972357682,2623
83,557.5,99.972357682,3279
84,557.5,99.972357682,1935
85,557.5,99.972357682,1266
86,557.5,99.972357682,3247
87,557.5,99.972357682,1903
88,557.5,99.972357682,2559
89,557.5,99.972357682,1216
90,557.5,99.972357682,1871
91,557.5,99.972357682,528
92,557.5,99.972357682,3183
93,557.5,99.972357682,1840
94,557.5,99.972357682,2495
95,557.5,99.972357682,1152
96,557.5,99.972357682,1807
97,557.5,99.972357682,2463
98,557.5,99.972357682,1120
99,557.5,99.972357682,1775
100,557.5,99.972357682,2431
